Date,Employee_ID,Employee_Name,Role,Contract_Type,Scheduled_Start,Scheduled_End,Actual_Clock_In,Actual_Clock_Out,Scheduled_Hours,Max_Allowed_Hours,Overtime_Hours,Status
2023-01-05,E090,Employee_90,Manager,Seasonal,10,15,09:56,15:00,5,5,0,OK
2023-01-05,E020,Employee_20,Customer Assistant,Part-time,8,12,08:02,11:57,4,6,0,OK
2023-01-05,E030,Employee_30,Manager,Temporary,6,13,06:00,13:01,7,7,0,OK
2023-01-05,E015,Employee_15,Security,Part-time,12,16,12:01,15:57,4,6,0,OK
2023-01-05,E008,Employee_8,Cashier,Temporary,6,12,05:59,11:56,6,7,0,OK
2023-01-05,E064,Employee_64,Cashier,Temporary,8,14,07:57,14:03,6,7,0,OK
2023-01-06,E033,Employee_33,Stocker,Temporary,7,14,07:02,13:58,7,7,0,OK
2023-01-06,E056,Employee_56,Customer Assistant,Temporary,13,19,13:02,19:05,6,7,0,OK
2023-01-06,E096,Employee_96,Customer Assistant,Part-time,14,18,13:57,17:56,4,6,0,OK
2023-01-06,E041,Employee_41,Security,Seasonal,11,15,11:01,14:59,4,5,0,OK
2023-01-06,E007,Employee_7,Customer Assistant,Seasonal,9,13,08:57,13:00,4,5,0,OK
2023-01-06,E058,Employee_58,Cashier,Part-time,12,18,12:05,18:05,6,6,0,OK
2023-01-06,E005,Employee_5,Stocker,Part-time,9,14,09:00,14:04,5,6,0,OK
2023-01-06,E050,Employee_50,Stocker,Temporary,10,16,10:02,16:05,6,7,0,OK
2023-01-06,E025,Employee_25,Customer Assistant,Seasonal,9,13,09:01,12:57,4,5,0,OK
2023-01-06,E073,Employee_73,Stocker,Part-time,13,19,12:59,18:55,6,6,0,OK
2023-01-06,E043,Employee_43,Customer Assistant,Full-time,13,22,12:59,22:01,9,8,1,Overtime
2023-01-06,E008,Employee_8,Cashier,Temporary,13,19,12:55,18:56,6,7,0,OK
2023-01-06,E018,Employee_18,Stocker,Part-time,14,19,14:04,18:55,5,6,0,OK
2023-01-06,E044,Employee_44,Security,Part-time,6,10,06:03,09:57,4,6,0,OK
2023-01-06,E092,Employee_92,Security,Seasonal,14,19,13:55,18:58,5,5,0,OK
2023-01-06,E071,Employee_71,Cashier,Full-time,11,19,11:04,18:57,8,8,0,OK
2023-01-06,E053,Employee_53,Security,Part-time,7,13,06:58,13:03,6,6,0,OK
2023-01-06,E066,Employee_66,Customer Assistant,Part-time,14,20,14:05,20:03,6,6,0,OK
2023-01-06,E047,Employee_47,Customer Assistant,Full-time,6,15,05:59,14:58,9,8,1,Overtime
2023-01-06,E048,Employee_48,Security,Temporary,8,14,07:56,13:55,6,7,0,OK
2023-01-06,E051,Employee_51,Manager,Temporary,10,17,10:00,17:03,7,7,0,OK
2023-01-06,E070,Employee_70,Manager,Temporary,8,15,07:55,15:01,7,7,0,OK
2023-01-06,E069,Employee_69,Manager,Seasonal,9,13,08:55,12:56,4,5,0,OK
2023-01-06,E078,Employee_78,Manager,Part-time,9,15,08:57,14:59,6,6,0,OK
2023-01-06,E085,Employee_85,Manager,Seasonal,14,18,14:02,17:55,4,5,0,OK
2023-01-06,E022,Employee_22,Cashier,Seasonal,14,18,14:00,18:04,4,5,0,OK
2023-01-06,E060,Employee_60,Customer Assistant,Seasonal,12,16,12:01,16:02,4,5,0,OK
2023-01-06,E088,Employee_88,Manager,Full-time,6,14,05:59,14:00,8,8,0,OK
2023-01-06,E038,Employee_38,Security,Full-time,14,22,13:57,22:02,8,8,0,OK
2023-01-06,E040,Employee_40,Manager,Temporary,13,20,12:55,20:03,7,7,0,OK
2023-01-07,E044,Employee_44,Security,Part-time,13,17,13:01,17:02,4,6,0,OK
2023-01-07,E069,Employee_69,Manager,Seasonal,6,10,05:56,10:04,4,5,0,OK
2023-01-07,E068,Employee_68,Security,Part-time,7,12,06:56,11:56,5,6,0,OK
2023-01-07,E023,Employee_23,Manager,Full-time,10,18,10:04,17:59,8,8,0,OK
2023-01-07,E065,Employee_65,Manager,Seasonal,6,11,06:00,11:03,5,5,0,OK
2023-01-07,E055,Employee_55,Cashier,Part-time,7,11,07:01,10:57,4,6,0,OK
2023-01-07,E079,Employee_79,Cashier,Part-time,13,19,12:57,19:02,6,6,0,OK
2023-01-07,E089,Employee_89,Security,Part-time,12,17,11:55,16:57,5,6,0,OK
2023-01-07,E003,Employee_3,Customer Assistant,Seasonal,10,14,10:05,13:58,4,5,0,OK
2023-01-07,E007,Employee_7,Customer Assistant,Seasonal,8,13,07:55,13:01,5,5,0,OK
2023-01-07,E060,Employee_60,Customer Assistant,Seasonal,14,18,14:05,18:03,4,5,0,OK
2023-01-07,E049,Employee_49,Manager,Seasonal,8,13,07:55,13:04,5,5,0,OK
2023-01-07,E002,Employee_2,Customer Assistant,Part-time,6,11,05:59,11:00,5,6,0,OK
2023-01-07,E018,Employee_18,Stocker,Part-time,7,13,07:02,13:01,6,6,0,OK
2023-01-07,E046,Employee_46,Cashier,Temporary,6,12,06:03,12:00,6,7,0,OK
2023-01-07,E085,Employee_85,Manager,Seasonal,11,15,11:02,15:04,4,5,0,OK
2023-01-07,E028,Employee_28,Cashier,Part-time,12,16,12:00,15:59,4,6,0,OK
2023-01-07,E051,Employee_51,Manager,Temporary,9,15,09:03,15:03,6,7,0,OK
2023-01-07,E041,Employee_41,Security,Seasonal,8,13,08:01,13:00,5,5,0,OK
2023-01-07,E043,Employee_43,Customer Assistant,Full-time,12,20,12:03,20:04,8,8,0,OK
2023-01-07,E096,Employee_96,Customer Assistant,Part-time,11,16,11:00,15:59,5,6,0,OK
2023-01-07,E013,Employee_13,Customer Assistant,Part-time,10,15,10:04,15:03,5,6,0,OK
2023-01-07,E093,Employee_93,Customer Assistant,Temporary,10,17,09:55,17:05,7,7,0,OK
2023-01-07,E008,Employee_8,Cashier,Temporary,7,14,07:00,13:55,7,7,0,OK
2023-01-07,E047,Employee_47,Customer Assistant,Full-time,8,17,08:02,17:02,9,8,1,Overtime
2023-01-07,E077,Employee_77,Customer Assistant,Seasonal,8,13,07:55,13:00,5,5,0,OK
2023-01-07,E034,Employee_34,Security,Part-time,11,17,11:01,17:00,6,6,0,OK
2023-01-07,E019,Employee_19,Manager,Temporary,9,15,08:56,15:04,6,7,0,OK
2023-01-07,E022,Employee_22,Cashier,Seasonal,8,13,08:01,12:56,5,5,0,OK
2023-01-07,E097,Employee_97,Customer Assistant,Part-time,6,12,05:58,12:05,6,6,0,OK
2023-01-08,E037,Employee_37,Cashier,Part-time,9,14,09:05,13:59,5,6,0,OK
2023-01-08,E033,Employee_33,Stocker,Temporary,12,18,12:03,17:57,6,7,0,OK
2023-01-08,E041,Employee_41,Security,Seasonal,9,14,08:56,13:58,5,5,0,OK
2023-01-08,E063,Employee_63,Stocker,Seasonal,9,14,09:02,14:01,5,5,0,OK
2023-01-08,E081,Employee_81,Customer Assistant,Part-time,12,18,12:02,18:00,6,6,0,OK
2023-01-08,E003,Employee_3,Customer Assistant,Seasonal,11,16,10:55,16:01,5,5,0,OK
2023-01-08,E097,Employee_97,Customer Assistant,Part-time,10,15,09:57,15:03,5,6,0,OK
2023-01-08,E073,Employee_73,Stocker,Part-time,13,19,13:04,18:57,6,6,0,OK
2023-01-08,E017,Employee_17,Security,Seasonal,9,13,08:55,12:58,4,5,0,OK
2023-01-08,E066,Employee_66,Customer Assistant,Part-time,10,16,10:02,15:56,6,6,0,OK
2023-01-08,E031,Employee_31,Cashier,Temporary,10,16,09:57,15:59,6,7,0,OK
2023-01-08,E034,Employee_34,Security,Part-time,6,12,05:56,11:56,6,6,0,OK
2023-01-08,E004,Employee_4,Customer Assistant,Part-time,12,18,11:55,18:00,6,6,0,OK
2023-01-08,E009,Employee_9,Customer Assistant,Seasonal,11,16,11:02,16:04,5,5,0,OK
2023-01-08,E045,Employee_45,Cashier,Full-time,14,22,14:01,21:59,8,8,0,OK
2023-01-08,E013,Employee_13,Customer Assistant,Part-time,11,17,11:02,16:59,6,6,0,OK
2023-01-08,E059,Employee_59,Security,Temporary,13,20,13:01,20:01,7,7,0,OK
2023-01-08,E046,Employee_46,Cashier,Temporary,13,20,13:01,20:01,7,7,0,OK
2023-01-08,E005,Employee_5,Stocker,Part-time,13,19,12:58,19:00,6,6,0,OK
2023-01-08,E002,Employee_2,Customer Assistant,Part-time,12,17,12:03,16:57,5,6,0,OK
2023-01-08,E020,Employee_20,Customer Assistant,Part-time,9,15,09:05,15:04,6,6,0,OK
2023-01-08,E062,Employee_62,Cashier,Seasonal,9,13,08:56,12:57,4,5,0,OK
2023-01-08,E007,Employee_7,Customer Assistant,Seasonal,12,17,12:05,16:57,5,5,0,OK
2023-01-08,E058,Employee_58,Cashier,Part-time,13,19,12:56,18:59,6,6,0,OK
2023-01-08,E098,Employee_98,Stocker,Seasonal,12,16,11:56,15:59,4,5,0,OK
2023-01-08,E014,Employee_14,Security,Part-time,10,16,09:56,16:03,6,6,0,OK
2023-01-08,E084,Employee_84,Manager,Full-time,12,21,12:02,21:02,9,8,1,Overtime
2023-01-08,E011,Employee_11,Security,Full-time,10,18,09:56,17:58,8,8,0,OK
2023-01-08,E057,Employee_57,Customer Assistant,Seasonal,9,13,08:59,13:03,4,5,0,OK
2023-01-08,E049,Employee_49,Manager,Seasonal,13,17,12:57,16:59,4,5,0,OK
2023-01-09,E064,Employee_64,Cashier,Temporary,8,14,08:05,14:01,6,7,0,OK
2023-01-09,E011,Employee_11,Security,Full-time,13,21,13:05,20:58,8,8,0,OK
2023-01-09,E020,Employee_20,Customer Assistant,Part-time,13,19,13:04,19:04,6,6,0,OK
2023-01-09,E062,Employee_62,Cashier,Seasonal,12,17,11:58,17:03,5,5,0,OK
2023-01-09,E007,Employee_7,Customer Assistant,Seasonal,10,14,09:56,13:59,4,5,0,OK
2023-01-09,E031,Employee_31,Cashier,Temporary,13,19,12:57,19:03,6,7,0,OK
2023-01-09,E089,Employee_89,Security,Part-time,11,15,11:05,15:02,4,6,0,OK
2023-01-09,E032,Employee_32,Stocker,Full-time,11,20,11:02,20:01,9,8,1,Overtime
2023-01-09,E006,Employee_6,Customer Assistant,Seasonal,9,14,08:55,13:57,5,5,0,OK
2023-01-09,E092,Employee_92,Security,Seasonal,6,10,05:57,09:56,4,5,0,OK
2023-01-09,E024,Employee_24,Security,Part-time,13,18,13:02,18:00,5,6,0,OK
2023-01-09,E086,Employee_86,Manager,Seasonal,9,13,08:58,12:55,4,5,0,OK
2023-01-09,E096,Employee_96,Customer Assistant,Part-time,9,13,09:03,13:00,4,6,0,OK
2023-01-09,E033,Employee_33,Stocker,Temporary,8,15,08:01,14:58,7,7,0,OK
2023-01-09,E077,Employee_77,Customer Assistant,Seasonal,9,14,08:58,14:05,5,5,0,OK
2023-01-09,E049,Employee_49,Manager,Seasonal,13,18,13:00,17:55,5,5,0,OK
2023-01-09,E018,Employee_18,Stocker,Part-time,6,12,06:04,12:04,6,6,0,OK
2023-01-09,E004,Employee_4,Customer Assistant,Part-time,12,18,12:03,18:00,6,6,0,OK
2023-01-09,E001,Employee_1,Cashier,Part-time,9,15,09:02,15:04,6,6,0,OK
2023-01-09,E080,Employee_80,Cashier,Temporary,13,19,12:55,19:05,6,7,0,OK
2023-01-09,E090,Employee_90,Manager,Seasonal,6,10,06:05,09:56,4,5,0,OK
2023-01-09,E081,Employee_81,Customer Assistant,Part-time,8,12,08:03,11:59,4,6,0,OK
2023-01-09,E019,Employee_19,Manager,Temporary,14,20,13:58,19:55,6,7,0,OK
2023-01-09,E084,Employee_84,Manager,Full-time,14,23,13:56,23:02,9,8,1,Overtime
2023-01-09,E015,Employee_15,Security,Part-time,11,15,11:01,15:05,4,6,0,OK
2023-01-09,E012,Employee_12,Cashier,Seasonal,8,12,07:59,12:00,4,5,0,OK
2023-01-09,E093,Employee_93,Customer Assistant,Temporary,7,13,07:05,13:03,6,7,0,OK
2023-01-09,E010,Employee_10,Manager,Temporary,10,16,09:55,16:05,6,7,0,OK
2023-01-09,E058,Employee_58,Cashier,Part-time,14,20,14:01,20:01,6,6,0,OK
2023-01-09,E005,Employee_5,Stocker,Part-time,11,16,11:04,15:58,5,6,0,OK
2023-01-10,E082,Employee_82,Manager,Seasonal,9,13,09:03,13:03,4,5,0,OK
2023-01-10,E083,Employee_83,Customer Assistant,Part-time,10,14,09:56,13:59,4,6,0,OK
2023-01-10,E088,Employee_88,Manager,Full-time,6,15,06:00,14:58,9,8,1,Overtime
2023-01-10,E084,Employee_84,Manager,Full-time,13,21,13:01,20:59,8,8,0,OK
2023-01-10,E087,Employee_87,Manager,Full-time,13,22,12:58,21:55,9,8,1,Overtime
2023-01-10,E081,Employee_81,Customer Assistant,Part-time,7,11,07:05,10:55,4,6,0,OK
2023-01-10,E065,Employee_65,Manager,Seasonal,13,17,12:56,16:57,4,5,0,OK
2023-01-10,E060,Employee_60,Customer Assistant,Seasonal,11,15,10:58,15:02,4,5,0,OK
2023-01-10,E011,Employee_11,Security,Full-time,10,18,10:00,17:56,8,8,0,OK
2023-01-10,E049,Employee_49,Manager,Seasonal,13,18,13:00,18:00,5,5,0,OK
2023-01-10,E093,Employee_93,Customer Assistant,Temporary,8,15,07:58,14:57,7,7,0,OK
2023-01-10,E067,Employee_67,Cashier,Full-time,13,22,12:57,21:57,9,8,1,Overtime
2023-01-10,E008,Employee_8,Cashier,Temporary,9,15,08:55,15:03,6,7,0,OK
2023-01-10,E020,Employee_20,Customer Assistant,Part-time,14,18,13:59,17:58,4,6,0,OK
2023-01-10,E069,Employee_69,Manager,Seasonal,7,12,06:58,12:02,5,5,0,OK
2023-01-10,E092,Employee_92,Security,Seasonal,7,11,06:59,10:55,4,5,0,OK
2023-01-10,E089,Employee_89,Security,Part-time,10,14,09:55,13:55,4,6,0,OK
2023-01-10,E074,Employee_74,Security,Temporary,10,16,10:00,15:59,6,7,0,OK
2023-01-10,E053,Employee_53,Security,Part-time,8,13,08:03,13:02,5,6,0,OK
